q1,q2,q3,q4,lead,d1,d2,d3,d4,distance,spot,play
1,0,0,0,0.5,1,0,0,0,1,0.757575758,SHORT PASS
1,0,0,0,0.5,0,1,0,0,1,0.757575758,RUSH
1,0,0,0,0.5,0,0,1,0,0.9,0.747474747,SHORT PASS
1,0,0,0,0.5,0,0,0,1,0.4,0.696969697,PUNT
1,0,0,0,0.5,1,0,0,0,1,0.262626263,RUSH
1,0,0,0,0.5,0,1,0,0,0.4,0.202020202,RUSH
1,0,0,0,0.5,0,0,1,0,0.1,0.171717172,RUSH
1,0,0,0,0.5,1,0,0,0,1,0.141414141,SHORT PASS
1,0,0,0,0.5,0,1,0,0,0.3,0.070707071,SHORT PASS
1,0,0,0,0.5,0,0,1,0,0.3,0.070707071,SHORT PASS
1,0,0,0,0.5,1,0,0,0,0.3,0.03030303,RUSH
1,0,0,0,0.5,0,1,0,0,0.1,0.01010101,RUSH
1,0,0,0,0.558333333,1,0,0,0,1.5,0.656565657,LONG PASS
1,0,0,0,0.558333333,1,0,0,0,1,0.404040404,RUSH
1,0,0,0,0.558333333,0,1,0,0,0.4,0.343434343,SHORT PASS
1,0,0,0,0.558333333,0,0,1,0,0.4,0.343434343,MEDIUM PASS
1,0,0,0,0.558333333,1,0,0,0,1,0.151515152,RUSH
1,0,0,0,0.558333333,0,1,0,0,1.1,0.161616162,MEDIUM PASS
1,0,0,0,0.558333333,1,0,0,0,0.1,0.01010101,RUSH
1,0,0,0,0.558333333,0,1,0,0,0.1,0.01010101,RUSH
1,0,0,0,0.616666667,1,0,0,0,1,0.404040404,SHORT PASS
1,0,0,0,0.616666667,0,1,0,0,0.6,0.363636364,SHORT PASS
1,0,0,0,0.616666667,0,0,1,0,0.6,0.363636364,SHORT PASS
1,0,0,0,0.616666667,0,0,0,1,0.6,0.363636364,SHORT PASS
1,0,0,0,0.616666667,1,0,0,0,1,0.808080808,RUSH
1,0,0,0,0.616666667,0,1,0,0,1.7,0.878787879,SHORT PASS
1,0,0,0,0.616666667,0,0,1,0,0.8,0.787878788,RUSH
1,0,0,0,0.616666667,0,0,0,1,1,0.808080808,PUNT
0,1,0,0,0.616666667,1,0,0,0,1,0.686868687,RUSH
0,1,0,0,0.616666667,1,0,0,0,1,0.494949495,RUSH
0,1,0,0,0.616666667,0,1,0,0,1,0.494949495,RUSH
0,1,0,0,0.616666667,0,0,1,0,1,0.494949495,MEDIUM PASS
0,1,0,0,0.616666667,1,0,0,0,1,0.363636364,RUSH
0,1,0,0,0.616666667,0,1,0,0,0.5,0.313131313,RUSH
0,1,0,0,0.616666667,0,0,1,0,0.1,0.272727273,RUSH
0,1,0,0,0.616666667,1,0,0,0,1,0.242424242,RUSH
0,1,0,0,0.616666667,0,1,0,0,2.9,0.434343434,SHORT PASS
