Game Clock,2min Warning,Late Game,Lead,d1,d2,d3,d4,Distance,LateLong,Spot,isRedZone,Play Type
0.000277778,1,1,0.558333333,1,0,0,0,0.25,0,0.808080808,0,RUSH
0.000277778,1,1,0.491666667,0,0,0,1,0.25,1,0.252525253,0,FIELD_GOAL
0.000555556,1,1,0.5,1,0,0,0,0.25,0,0.656565657,0,RUSH
0.002777778,1,1,0.5,1,0,0,0,0.25,0,0.858585859,0,RUSH
0.003194444,1,1,0.425,0,1,0,0,0.25,0,0.757575758,0,PASS
0.004444444,1,1,0.491666667,0,0,1,0,0.175,1,0.222222222,0,RUSH
0.005,1,1,0.5,1,0,0,0,0.25,0,0.757575758,0,RUSH
0.006388889,1,1,0.425,1,0,0,0,0.25,0,0.757575758,0,PASS
0.006666667,1,1,0.491666667,0,1,0,0,0.25,0,0.252525253,0,PASS
0.0075,1,1,0.441666667,1,0,0,0,0.025,0,0.01010101,1,RUSH
0.008611111,1,1,0.7,1,0,0,0,0.25,0,0.848484848,0,RUSH
0.008888889,1,1,0.491666667,1,0,0,0,0.25,0,0.252525253,0,PASS
0.009722222,1,1,0.7,1,0,0,0,0.25,0,0.474747475,0,RUSH
0.009722222,1,1,0.558333333,0,0,0,1,0.075,0,0.141414141,1,FIELD_GOAL
0.009888889,1,1,0.591666667,0,1,0,0,0.275,0,0.414141414,0,RUSH
0.01,1,1,0.475,0,0,0,1,0.075,0,0.181818182,1,FIELD_GOAL
0.010055556,1,1,0.441666667,0,1,0,0,0.25,0,0.373737374,0,PASS
0.010462963,1,1,0.55,0,0,1,0,0.375,1,0.777777778,0,RUSH
0.010555556,1,1,0.591666667,1,0,0,0,0.25,0,0.414141414,0,RUSH
0.011111111,1,1,0.816666667,0,0,1,0,0.15,0,0.767676768,0,RUSH
0.011111111,1,1,0.491666667,0,1,0,0,0.25,0,0.414141414,0,PASS
0.011111111,1,1,0.691666667,1,0,0,0,0.25,0,0.97979798,0,RUSH
0.011333333,1,1,0.441666667,1,0,0,0,0.25,0,0.373737374,0,PASS
0.012611111,1,1,0.441666667,1,0,0,0,0.25,0,0.666666667,0,PASS
0.012916667,1,1,0.475,0,0,1,0,0.075,0,0.181818182,1,PASS
0.013333333,1,1,0.491666667,1,0,0,0,0.25,0,0.414141414,0,PASS
0.013333333,1,1,0.758333333,0,0,0,1,0.15,0,0.505050505,0,RUSH
0.013888889,1,1,0.441666667,1,0,0,0,0.25,0,0.808080808,0,PASS
0.014944444,1,1,0.591666667,1,0,0,0,0.25,0,0.404040404,0,RUSH
0.015555556,1,1,0.491666667,0,0,1,0,0.1,0,0.494949495,0,PASS
0.015833333,1,1,0.475,0,1,0,0,0.075,0,0.181818182,1,PASS
