q1,q2,q3,q4,lead,d1,d2,d3,d4,distance,spot,play
0,1,0,0,0.558333333,0,0,0,1,0.125,0.050505051,FIELD_GOAL
0,1,0,0,0.466666667,1,0,0,0,0.25,0.494949495,RUSH
0,0,1,0,0.291666667,1,0,0,0,0.25,0.444444444,PASS
1,0,0,0,0.466666667,1,0,0,0,0.5,0.727272727,RUSH
0,1,0,0,0.383333333,0,0,1,0,0.025,0.404040404,RUSH
0,0,1,0,0.341666667,0,0,1,0,0.025,0.717171717,RUSH
0,0,0,1,0.233333333,1,0,0,0,0.25,0.232323232,PASS
1,0,0,0,0.5,1,0,0,0,0.25,0.616161616,RUSH
0,0,1,0,0.675,0,1,0,0,0.075,0.03030303,RUSH
1,0,0,0,0.5,1,0,0,0,0.25,0.161616162,RUSH
0,0,0,1,0.45,0,1,0,0,0.25,0.808080808,PASS
0,1,0,0,0.441666667,0,1,0,0,0.125,0.505050505,RUSH
0,1,0,0,0.391666667,0,0,0,1,0.225,0.383838384,PASS
0,1,0,0,0.5,1,0,0,0,0.25,0.404040404,PASS
0,0,0,1,0.325,1,0,0,0,0.25,0.808080808,PASS
1,0,0,0,0.408333333,0,0,1,0,0.1,0.181818182,RUSH
0,1,0,0,0.433333333,0,0,1,0,0.2,0.747474747,PASS
0,0,1,0,0.5,1,0,0,0,0.25,0.757575758,RUSH
0,1,0,0,0.283333333,1,0,0,0,0.25,0.434343434,PASS
0,1,0,0,0.591666667,0,1,0,0,0.1,0.727272727,PASS
0,0,1,0,0.533333333,0,0,0,1,0.25,0.343434343,FIELD_GOAL
0,1,0,0,0.508333333,0,1,0,0,0.325,0.393939394,RUSH
0,0,0,1,0.4,1,0,0,0,0.25,0.808080808,RUSH
0,0,0,1,0.4,0,0,1,0,0.5,0.909090909,PASS
0,0,0,1,0.175,1,0,0,0,0.25,0.636363636,RUSH
1,0,0,0,0.5,0,0,1,0,0.05,0.656565657,RUSH
0,0,1,0,0.408333333,1,0,0,0,0.25,0.535353535,PASS
0,1,0,0,0.433333333,0,1,0,0,0.25,0.767676768,RUSH
0,1,0,0,0.558333333,0,0,1,0,0.125,0.292929293,RUSH
0,0,0,1,0.558333333,0,0,1,0,0.225,0.747474747,RUSH
0,0,1,0,0.266666667,0,1,0,0,0.225,0.747474747,RUSH
0,1,0,0,0.325,1,0,0,0,0.25,0.626262626,PASS
1,0,0,0,0.5,0,1,0,0,0.375,0.464646465,RUSH
1,0,0,0,0.5,1,0,0,0,0.125,0.949494949,RUSH
1,0,0,0,0.558333333,0,1,0,0,0.225,0.646464646,PASS
0,0,0,1,0.225,0,1,0,0,0.225,0.878787879,RUSH
0,1,0,0,0.275,0,1,0,0,0.25,0.777777778,RUSH
0,0,0,1,0.616666667,0,0,0,1,0.15,0.686868687,PUNT
0,1,0,0,0.383333333,1,0,0,0,0.25,0.383838384,PASS
0,1,0,0,0.525,0,0,0,1,0.1,0.646464646,PUNT
0,1,0,0,0.5,0,1,0,0,0.075,0.080808081,RUSH
1,0,0,0,0.558333333,1,0,0,0,0.25,0.666666667,PASS
0,1,0,0,0.525,1,0,0,0,0.25,0.434343434,PASS
0,1,0,0,0.558333333,1,0,0,0,0.25,0.202020202,RUSH
0,1,0,0,0.45,1,0,0,0,0.25,0.171717172,RUSH
1,0,0,0,0.5,1,0,0,0,0.25,0.595959596,RUSH
0,1,0,0,0.441666667,1,0,0,0,0.25,0.222222222,RUSH
0,0,1,0,0.466666667,0,1,0,0,0.025,0.656565657,RUSH
0,0,1,0,0.408333333,0,1,0,0,0.35,0.686868687,RUSH
1,0,0,0,0.325,0,0,0,1,0.1,0.696969697,PUNT
0,1,0,0,0.475,1,0,0,0,0.25,0.454545455,PASS
0,0,1,0,0.283333333,1,0,0,0,0.25,0.424242424,PASS
1,0,0,0,0.525,0,1,0,0,0.25,0.434343434,RUSH
0,1,0,0,0.45,1,0,0,0,0.15,0.060606061,RUSH
0,1,0,0,0.383333333,1,0,0,0,0.25,0.666666667,RUSH
0,0,0,1,0.266666667,0,1,0,0,0.2,0.565656566,RUSH
0,1,0,0,0.591666667,0,0,0,1,0.125,0.101010101,FIELD_GOAL
0,0,1,0,0.675,0,0,1,0,0.425,0.171717172,RUSH
0,1,0,0,0.508333333,0,1,0,0,0.2,0.747474747,PASS
0,1,0,0,0.333333333,0,0,1,0,0.1,0.585858586,PASS
0,1,0,0,0.391666667,0,0,1,0,0.225,0.383838384,PASS
0,1,0,0,0.5,0,1,0,0,0.05,0.212121212,RUSH
1,0,0,0,0.383333333,0,0,1,0,0.2,0.272727273,RUSH
0,0,0,1,0.675,0,0,0,1,0.3,0.141414141,FIELD_GOAL
0,1,0,0,0.325,1,0,0,0,0.25,0.101010101,PASS
0,0,0,1,0.225,0,0,0,1,0.3,0.151515152,FIELD_GOAL
0,0,0,1,0.441666667,0,0,1,0,0.225,0.393939394,PASS
0,0,0,1,0.341666667,0,0,1,0,0.45,0.353535354,PASS
0,0,0,1,0.208333333,0,1,0,0,0.3,0.777777778,PASS
1,0,0,0,0.5,0,1,0,0,0.15,0.717171717,PASS
1,0,0,0,0.383333333,1,0,0,0,0.25,0.292929293,PASS
0,0,0,1,0.408333333,0,0,1,0,0.25,0.888888889,PASS
1,0,0,0,0.383333333,0,1,0,0,0.25,0.151515152,RUSH
0,1,0,0,0.475,1,0,0,0,0.25,0.404040404,PASS
1,0,0,0,0.5,0,0,1,0,0.15,0.646464646,PASS
0,0,1,0,0.5,1,0,0,0,0.25,0.171717172,PASS
0,0,1,0,0.408333333,0,0,0,1,0.025,0.555555556,PUNT
0,0,1,0,0.391666667,0,0,1,0,0.325,0.787878788,PASS
0,1,0,0,0.35,0,0,1,0,0.375,0.696969697,RUSH
0,0,0,1,0.616666667,0,0,1,0,0.075,0.252525253,RUSH
0,0,0,1,0.341666667,1,0,0,0,0.25,0.303030303,PASS
0,1,0,0,0.441666667,1,0,0,0,0.25,0.323232323,PASS
0,1,0,0,0.475,0,1,0,0,0.3,0.363636364,PASS
1,0,0,0,0.558333333,1,0,0,0,0.25,0.535353535,PASS
0,0,0,1,0.158333333,0,0,0,1,0.15,0.727272727,PUNT
1,0,0,0,0.441666667,1,0,0,0,0.15,0.060606061,RUSH
0,1,0,0,0.441666667,0,1,0,0,0.075,0.222222222,PASS
0,0,0,1,0.016666667,1,0,0,0,0.25,0.757575758,PASS
1,0,0,0,0.5,0,0,0,1,0.025,0.505050505,RUSH
0,0,1,0,0.558333333,1,0,0,0,0.25,0.454545455,RUSH
1,0,0,0,0.475,0,1,0,0,0.15,0.656565657,PASS
0,1,0,0,0.441666667,0,1,0,0,0.075,0.333333333,PASS
1,0,0,0,0.558333333,1,0,0,0,0.25,0.686868687,PASS
1,0,0,0,0.441666667,0,0,0,1,0.05,0.676767677,PUNT
0,0,0,1,0.266666667,0,0,0,1,0.225,0.565656566,PASS
1,0,0,0,0.5,0,1,0,0,0.2,0.616161616,PASS
0,1,0,0,0.441666667,0,1,0,0,0.15,0.424242424,RUSH
0,0,1,0,0.233333333,1,0,0,0,0.25,0.757575758,PASS
0,1,0,0,0.508333333,0,1,0,0,0.175,0.636363636,RUSH
0,1,0,0,0.283333333,1,0,0,0,0.25,0.232323232,RUSH
0,0,1,0,0.558333333,0,0,0,1,0.175,0.424242424,PUNT
0,0,0,1,0.266666667,0,1,0,0,0.3,0.707070707,PASS
0,0,1,0,0.133333333,0,1,0,0,0.375,0.696969697,RUSH
0,1,0,0,0.441666667,0,0,1,0,0.225,0.303030303,PASS
0,0,0,1,0.475,0,1,0,0,0.25,0.545454545,RUSH
0,1,0,0,0.5,0,0,0,1,0.15,0.161616162,FIELD_GOAL
1,0,0,0,0.383333333,0,1,0,0,0.275,0.232323232,PASS
1,0,0,0,0.5,0,0,1,0,0.25,0.808080808,RUSH
1,0,0,0,0.5,1,0,0,0,0.25,0.353535354,PASS
1,0,0,0,0.5,0,1,0,0,0.225,0.747474747,RUSH
0,0,0,1,0.233333333,0,1,0,0,0.175,0.888888889,PASS
1,0,0,0,0.5,0,0,1,0,0.05,0.535353535,RUSH
0,1,0,0,0.441666667,0,0,1,0,0.225,0.434343434,PASS
0,0,1,0,0.65,0,0,0,1,0.225,0.888888889,PUNT
0,1,0,0,0.475,0,1,0,0,0.075,0.515151515,PASS
0,1,0,0,0.616666667,1,0,0,0,0.25,0.373737374,PASS
0,1,0,0,0.45,1,0,0,0,0.25,0.656565657,RUSH
1,0,0,0,0.408333333,0,0,1,0,0.15,0.343434343,RUSH
0,0,1,0,0.533333333,0,0,0,1,0.025,0.393939394,RUSH
0,1,0,0,0.383333333,0,0,1,0,0.175,0.888888889,PASS
0,1,0,0,0.283333333,0,0,1,0,0.025,0.01010101,RUSH
0,0,0,1,0.375,1,0,0,0,0.25,0.656565657,PASS
