q1,q2,q3,q4,lead,d1,d2,d3,d4,distance,spot,play
1,0,0,0,0.5,1,0,0,0,1,0.757575758,RUSH
1,0,0,0,0.5,0,1,0,0,0.6,0.717171717,RUSH
1,0,0,0,0.5,1,0,0,0,1,0.616161616,RUSH
1,0,0,0,0.5,0,1,0,0,0.8,0.595959596,RUSH
1,0,0,0,0.5,1,0,0,0,0.7,0.070707071,RUSH
1,0,0,0,0.558333333,1,0,0,0,1,0.656565657,RUSH
1,0,0,0,0.558333333,0,1,0,0,0.7,0.626262626,RUSH
1,0,0,0,0.558333333,0,0,1,0,0.2,0.575757576,RUSH
1,0,0,0,0.558333333,1,0,0,0,1,0.535353535,SHORT_PASS
1,0,0,0,0.616666667,1,0,0,0,1,0.808080808,RUSH
1,0,0,0,0.616666667,0,1,0,0,0.2,0.727272727,RUSH
1,0,0,0,0.616666667,1,0,0,0,1,0.606060606,RUSH
1,0,0,0,0.616666667,0,1,0,0,0.8,0.585858586,RUSH
1,0,0,0,0.616666667,0,0,1,0,0.3,0.535353535,RUSH
1,0,0,0,0.616666667,1,0,0,0,1,0.454545455,RUSH
1,0,0,0,0.616666667,0,1,0,0,0.7,0.424242424,RUSH
1,0,0,0,0.616666667,0,0,1,0,0.1,0.363636364,RUSH
1,0,0,0,0.616666667,1,0,0,0,1,0.353535354,SHORT_PASS
1,0,0,0,0.616666667,0,1,0,0,1,0.353535354,RUSH
1,0,0,0,0.616666667,0,0,1,0,0.4,0.292929293,RUSH
1,0,0,0,0.616666667,1,0,0,0,1,0.242424242,RUSH
1,0,0,0,0.616666667,0,1,0,0,0.8,0.222222222,RUSH
1,0,0,0,0.616666667,0,0,1,0,0.1,0.151515152,RUSH
1,0,0,0,0.616666667,1,0,0,0,0.4,0.04040404,RUSH
1,0,0,0,0.616666667,0,1,0,0,0.4,0.04040404,RUSH
0,1,0,0,0.616666667,1,0,0,0,1,0.676767677,RUSH
0,1,0,0,0.616666667,0,1,0,0,0.8,0.656565657,RUSH
0,1,0,0,0.616666667,1,0,0,0,1,0.525252525,RUSH
0,1,0,0,0.616666667,0,1,0,0,0.6,0.484848485,RUSH
0,1,0,0,0.616666667,0,0,1,0,0.2,0.444444444,RUSH
0,1,0,0,0.616666667,1,0,0,0,1,0.404040404,RUSH
0,1,0,0,0.616666667,1,0,0,0,1,0.272727273,RUSH
0,1,0,0,0.675,1,0,0,0,1,0.797979798,SHORT_PASS
0,1,0,0,0.675,0,1,0,0,1,0.797979798,RUSH
0,1,0,0,0.675,0,0,1,0,0.4,0.737373737,RUSH
0,1,0,0,0.675,0,0,0,1,0.2,0.717171717,PUNT
0,1,0,0,0.616666667,1,0,0,0,1,0.676767677,RUSH
0,1,0,0,0.616666667,0,1,0,0,0.1,0.585858586,RUSH
0,1,0,0,0.616666667,0,0,1,0,0.1,0.585858586,RUSH
0,1,0,0,0.616666667,1,0,0,0,1,0.565656566,SHORT_PASS
0,1,0,0,0.616666667,0,1,0,0,1,0.565656566,RUSH
0,1,0,0,0.616666667,1,0,0,0,1,0.454545455,RUSH
0,1,0,0,0.616666667,0,1,0,0,1,0.454545455,RUSH
0,1,0,0,0.616666667,1,0,0,0,1,0.505050505,RUSH
0,1,0,0,0.616666667,1,0,0,0,0.6,0.060606061,RUSH
0,1,0,0,0.616666667,0,1,0,0,0.4,0.04040404,SHORT_PASS
0,0,1,0,0.675,1,0,0,0,0.7,0.070707071,RUSH
0,0,1,0,0.616666667,1,0,0,0,1,0.626262626,RUSH
0,0,1,0,0.616666667,0,1,0,0,0.1,0.535353535,RUSH
0,0,1,0,0.616666667,1,0,0,0,1,0.505050505,RUSH
0,0,1,0,0.616666667,0,1,0,0,1,0.505050505,RUSH
0,0,1,0,0.616666667,0,0,1,0,0.3,0.434343434,RUSH
0,0,1,0,0.616666667,1,0,0,0,1,0.343434343,RUSH
0,0,1,0,0.675,1,0,0,0,1,0.808080808,RUSH
0,0,1,0,0.675,0,1,0,0,0.6,0.767676768,RUSH
0,0,0,1,0.675,1,0,0,0,2,0.727272727,RUSH
0,0,0,1,0.675,0,1,0,0,1.4,0.666666667,RUSH
0,0,0,1,0.675,0,0,1,0,1.2,0.646464646,RUSH
0,0,0,1,0.675,0,0,0,1,0.8,0.606060606,PUNT
0,0,0,1,0.675,1,0,0,0,1,0.262626263,RUSH
0,0,0,1,0.675,0,1,0,0,0.9,0.252525253,RUSH
0,0,0,1,0.675,1,0,0,0,1,0.121212121,RUSH
0,0,0,1,0.675,0,1,0,0,0.9,0.111111111,RUSH
0,0,0,1,0.675,0,0,1,0,0.9,0.111111111,RUSH
0,0,0,1,0.675,0,0,0,1,1.2,0.141414141,FIELD_GOAL
0,0,0,1,0.675,1,0,0,0,1,0.515151515,RUSH
0,0,0,1,0.675,0,1,0,0,0.6,0.474747475,RUSH
0,0,0,1,0.675,1,0,0,0,1,0.383838384,RUSH
0,0,0,1,0.675,0,1,0,0,0.8,0.363636364,RUSH
0,0,0,1,0.675,1,0,0,0,1,0.272727273,RUSH
0,0,0,1,0.675,0,1,0,0,0.5,0.222222222,RUSH
0,0,0,1,0.675,1,0,0,0,1,0.171717172,RUSH
0,0,0,1,0.675,0,1,0,0,1.1,0.181818182,RUSH
0,0,0,1,0.675,0,0,1,0,0.8,0.151515152,RUSH
0,0,0,1,0.675,0,0,0,1,0.8,0.151515152,RUSH
1,0,0,0,0.5,1,0,0,0,1,0.818181818,RUSH
1,0,0,0,0.5,0,1,0,0,0.4,0.757575758,RUSH
1,0,0,0,0.5,0,0,1,0,0.1,0.727272727,RUSH
1,0,0,0,0.5,1,0,0,0,1,0.656565657,RUSH
