Game Clock,2min Warning,Late Game,Lead,d1,d2,d3,d4,Distance,LateLong,Spot,isRedZone,Play Type
0.001389,1,1,0.5,0,0,1,0,0.075,0,0.343434343,0,FIELD_GOAL
0.001995,1,1,0.508333333,0,1,0,0,0.3,0,0.161616162,1,RUSH
0.002099,1,1,0.475,0,0,1,0,0.075,0,0.353535354,0,PASS
0.002833,1,1,0.475,1,0,0,0,0.25,0,0.555555556,0,PASS
0.002882,1,1,0.333333333,0,0,1,0,0.1,0,0.04040404,1,PASS
0.003426,1,1,0.541666667,0,1,0,0,0.15,0,0.454545455,0,RUSH
0.004444,1,1,0.5,0,1,0,0,0.075,0,0.343434343,0,PASS
0.004907,1,1,0.475,0,1,0,0,0.375,0,0.474747475,0,PASS
0.005667,1,1,0.475,0,0,0,1,0.05,0,0.676767677,0,RUSH
0.005694,1,1,0.333333333,0,0,1,0,0.225,1,0.606060606,0,PASS
0.005764,1,1,0.333333333,0,1,0,0,0.1,0,0.04040404,1,PASS
0.006389,1,1,0.708333333,0,1,0,0,0.3,0,0.777777778,0,RUSH
0.006667,1,1,0.5,1,0,0,0,0.25,0,0.414141414,0,RUSH
0.006746,1,1,0.225,0,1,0,0,0.35,0,0.676767677,0,RUSH
0.007716,1,1,0.475,1,0,0,0,0.375,0,0.474747475,0,PASS
0.008009,1,1,0.208333333,0,0,1,0,0.175,1,0.787878788,0,RUSH
0.0085,1,1,0.475,0,0,1,0,0.15,0,0.717171717,0,RUSH
0.008611,1,1,0.733333333,0,1,0,0,0.35,0,0.757575758,0,RUSH
0.008646,1,1,0.333333333,1,0,0,0,0.075,0,0.03030303,1,RUSH
0.008819,1,1,0.641666667,0,0,0,1,0.35,1,0.434343434,0,RUSH
0.008889,1,1,0.5,1,0,0,0,0.25,0,0.535353535,0,RUSH
0.009028,1,1,0.616666667,1,0,0,0,0.25,0,0.212121212,0,RUSH
0.010303,1,1,0.508333333,1,0,0,0,0.25,0,0.141414141,1,RUSH
0.010741,1,1,0.541666667,1,0,0,0,0.125,0,0.444444444,0,RUSH
0.010972,1,1,0.616666667,0,1,0,0,0.275,0,0.555555556,0,RUSH
0.011333,1,1,0.475,0,1,0,0,0.15,0,0.717171717,0,PASS
0.011389,1,1,0.333333333,0,1,0,0,0.25,0,0.616161616,0,RUSH
0.011528,1,1,0.333333333,0,0,1,0,0.025,0,0.060606061,1,PASS
0.012778,1,1,0.708333333,1,0,0,0,0.25,0,0.757575758,0,RUSH
0.013333,1,1,0.475,0,0,1,0,0.275,1,0.555555556,0,PASS
0.013492,1,1,0.225,1,0,0,0,0.25,0,0.636363636,0,RUSH
0.014167,1,1,0.475,1,0,0,0,0.25,0,0.757575758,0,RUSH
0.01441,1,1,0.333333333,0,1,0,0,0.1,0,0.090909091,1,RUSH
0.01466,1,1,0.475,0,1,0,0,0.25,0,0.545454545,0,RUSH
0.016019,1,1,0.208333333,0,1,0,0,0.3,0,0.838383838,0,RUSH
0.016019,1,1,0.341666667,0,0,0,1,0.2,1,0.151515152,1,PASS
